UNIQUE_ID,DATE,DISTRICT_CURRENT,VDC_MUNICIPALITY,WARD_CURRENT,CASTE_ETHNICITY,SEX_OF_RESPONDENTS,AGE_OF_RESPONDENTS,EDUCATION_OF_RESPONDENTS,WALKING_DISTANCE,Household_Size,Highest_Education,Primary_Occupation,Income,Damage_Category,Months_Recon,Recon_Completed,Amount_Spent,Govt_Grant,Home_Safe,Satisfaction_Level,Freedom_Choice
63142,2019-01-05,1,4,2,67,1,77,7,0,12,2,1,2,4,1,100,200000,300000,1,7,8
73142,2019-01-05,1,4,2,67,2,22,4,0,5,4,1,4,4,3,100,300000,300000,1,8,6
83144,2019-01-06,1,4,4,67,2,50,7,0,8,2,1,4,4,3,100,450000,300000,-1,4,4
93144,2019-01-06,1,4,4,67,1,65,7,0,6,4,4,4,4,1,100,700000,300000,1,8,4
103143,2019-01-06,1,4,3,67,1,66,7,0.33,9,3,1,4,4,,80,400000,200000,1,7,6
113143,2019-01-06,1,4,3,67,2,70,7,1,8,3,1,3,4,2,100,500000,300000,-1,4,4
123143,2019-01-06,1,4,3,67,1,73,7,1,3,3,1,2,4,3,100,550000,300000,1,6,6
133131,2019-01-08,1,3,1,44,1,24,2,0,8,3,1,4,4,3,100,900000,200000,-1,5,7
143131,2019-01-08,1,3,1,44,1,24,2,0,16,2,1,4,4,,20,35000,200000,1,5,4
153131,2019-01-08,1,3,1,44,2,57,7,0,8,3,1,2,4,2,100,700000,300000,1,5,5
163131,2019-01-08,1,3,1,44,2,40,7,0,5,2,1,3,4,,60,300000,300000,1,5,5
173133,2019-01-08,1,3,3,44,1,25,2,0,6,2,1,7,4,6,100,700000,300000,1,7,3
183133,2019-01-08,1,3,3,9,2,28,7,0,3,1,4,3,4,,80,460000,300000,1,5,6
193133,2019-01-08,1,3,3,9,2,27,1,0,5,1,4,3,4,,80,400000,300000,1,6,7
203133,2019-01-08,1,3,3,9,1,19,3,0,6,3,3,4,4,,80,1000000,300000,1,7,4
213133,2019-01-08,1,3,3,52,2,32,1,0,5,2,1,2,4,,20,60000,200000,1,6,6
223134,2019-01-09,1,3,4,125,2,46,7,0,8,4,1,5,4,2,100,2000000,300000,-1,5,7
233134,2019-01-09,1,3,4,84,1,40,1,0,5,2,4,3,4,1,100,500000,300000,1,6,7
243134,2019-01-09,1,3,4,77,1,65,1,0,3,2,1,3,4,,80,360000,300000,1,7,6
253134,2019-01-09,1,3,4,67,2,59,7,0,19,2,1,4,4,2,100,800000,300000,1,6,6
263134,2019-01-09,1,3,4,125,2,30,7,0,5,2,4,3,4,1,100,450000,300000,1,6,7
273134,2019-01-09,1,3,4,125,1,32,3,0,13,3,3,4,4,1,100,1000000,300000,1,8,4
283133,2019-01-09,1,3,3,86,1,32,1,0,5,1,4,4,4,1,100,150000,300000,1,7,7
293133,2019-01-09,1,3,3,86,1,46,7,0,5,2,4,3,4,1,100,163000,300000,1,7,6
303139,2019-01-10,1,3,9,44,1,35,7,0,1,7,4,2,4,2,100,600000,300000,1,7,5
313139,2019-01-10,1,3,9,44,1,32,7,0,4,1,4,2,4,1,100,200000,100000,1,4,4
323139,2019-01-10,1,3,9,44,1,22,2,0,8,2,2,3,4,1,100,160000,300000,1,6,5
333139,2019-01-10,1,3,9,44,1,55,1,0,8,2,3,3,4,2,100,800000,300000,1,6,7
343139,2019-01-10,1,3,9,44,1,49,7,0,8,2,2,4,4,1,100,300000,200000,1,5,4
353139,2019-01-10,1,3,9,44,1,60,7,0,4,2,1,2,4,1,100,600000,300000,1,7,3
363139,2019-01-10,1,3,9,44,2,65,7,0,7,2,1,2,4,1,100,600000,300000,1,7,7
373139,2019-01-10,1,3,9,44,1,24,2,0,3,2,1,2,4,1,100,150000,300000,1,6,6
383139,2019-01-10,1,3,9,44,2,40,7,0,5,2,1,2,4,6,100,360000,300000,1,4,4
393139,2019-01-10,1,3,9,44,1,58,7,0,12,2,1,2,4,1,100,600000,200000,1,6,6
403136,2019-01-11,1,3,6,77,1,68,2,0,13,3,1,4,4,1,100,500000,300000,1,5,6
413136,2019-01-11,1,3,6,77,2,45,7,0,5,3,5,4,4,2,100,700000,300000,1,6,6
423136,2019-01-11,1,3,6,77,2,32,2,0,3,1,1,2,4,1,100,350000,300000,1,6,6
433137,2019-01-11,1,3,7,125,2,25,4,0,16,5,1,5,4,3,100,700000,300000,1,4,4
443137,2019-01-11,1,3,7,125,2,55,7,0,10,2,1,2,4,3,100,700000,300000,1,4,5
453137,2019-01-11,1,3,7,125,2,62,7,0,8,3,1,2,4,3,100,600000,300000,0,6,6
463137,2019-01-11,1,3,7,125,1,72,1,0,11,3,1,4,4,,80,727000,300000,1,6,3
473136,2019-01-11,1,3,6,77,2,28,2,0,5,2,1,2,4,3,100,800000,300000,0,5,4
483136,2019-01-11,1,3,6,77,2,62,1,0,15,4,3,7,4,3,100,600000,300000,1,8,7
493138,2019-01-12,1,3,8,125,2,65,7,0,9,2,5,3,4,6,100,1700000,300000,1,6,6
503138,2019-01-12,1,3,8,125,2,18,3,0,4,4,1,3,4,12,100,1500000,300000,1,8,6
513138,2019-01-12,1,3,8,125,1,47,2,0,7,2,1,3,4,3,100,500000,300000,1,7,7
16145,2019-01-05,1,4,5,9,1,30,7,0,4,7,3,3,4,2,100,170000,300000,1,5,4
26145,2019-01-05,1,4,5,9,2,34,7,0,5,2,1,2,4,4,100,600000,300000,1,10,10
36144,2019-01-05,1,4,4,44,2,21,3,0,4,3,1,3,4,1,100,200000,100000,1,5,5
46146,2019-01-05,1,4,6,28,1,45,2,0.5,4,2,3,3,4,3,100,300000,200000,1,10,7
56146,2019-01-05,1,4,6,28,2,35,1,0.5,7,2,1,3,4,1,100,500000,300000,1,4,10
66146,2019-01-05,1,4,6,28,2,37,1,0.5,7,2,1,2,4,1,100,300000,200000,1,8,9
76142,2019-01-05,1,4,2,67,2,30,1,1,5,2,1,2,4,11,100,300000,200000,1,10,5
86142,2019-01-05,1,4,2,44,2,33,1,1,6,2,1,2,4,12,100,400000,300000,1,9,7
96142,2019-01-05,1,4,2,44,1,62,1,0,2,1,1,1,4,2,100,250000,300000,1,7,6
106144,2019-01-06,1,4,4,67,1,70,7,0,2,1,1,2,4,2,100,1000000,300000,1,10,10
116144,2019-01-06,1,4,4,67,1,35,1,0,4,2,1,2,4,7,100,600000,300000,1,8,2
126143,2019-01-06,1,4,3,67,1,25,3,0,2,3,6,3,4,2,100,550000,300000,1,8,7
136143,2019-01-06,1,4,3,67,1,30,2,0.5,3,2,1,2,4,1,100,600000,300000,1,7,9
146131,2019-01-08,1,3,1,44,1,35,1,0,5,1,1,2,4,3,100,450000,300000,1,7,4
156131,2019-01-08,1,3,1,44,1,19,3,0,5,3,1,3,4,2,100,900000,300000,1,10,7
166131,2019-01-08,1,3,1,44,1,59,7,0,1,7,1,2,4,,80,150000,200000,1,6,8
176131,2019-01-08,1,3,1,44,1,63,7,0,2,7,1,2,4,6,100,400000,300000,1,8,5
186131,2019-01-08,1,3,1,44,1,56,7,0.25,8,2,1,1,4,3,100,325000,200000,1,9,5
196131,2019-01-08,1,3,1,44,2,69,7,0,1,7,1,1,4,3,100,150000,200000,1,5,6
206133,2019-01-08,1,3,3,9,1,73,7,0,2,7,3,2,4,2,100,390000,300000,1,9,6
216133,2019-01-08,1,3,3,9,2,42,7,0,5,3,3,3,4,1,100,500000,300000,1,10,7
226133,2019-01-08,1,3,3,9,1,70,7,0,2,7,3,1,4,2,100,350000,300000,1,9,7
236133,2019-01-08,1,3,3,9,2,50,7,0,7,3,1,3,4,3,100,800000,300000,1,8,7
246133,2019-01-08,1,3,3,9,1,40,1,0,5,2,1,2,4,2,100,700000,300000,1,7,4
256132,2019-01-09,1,3,2,67,1,65,7,0,5,3,1,2,4,4,100,200000,300000,1,8,7
266132,2019-01-09,1,3,2,84,2,35,7,0,6,3,3,3,4,1,100,600000,300000,1,8,4
276132,2019-01-09,1,3,2,125,1,49,2,0.25,4,3,1,2,4,7,100,650000,300000,1,7,7
286132,2019-01-09,1,3,2,125,1,58,1,1,5,3,1,3,4,4,100,650000,300000,1,9,4
296132,2019-01-09,1,3,2,125,2,45,7,0.5,4,2,1,2,4,1,100,400000,300000,1,7,6
306132,2019-01-09,1,3,2,125,2,53,1,0,3,3,8,4,4,1,100,600000,300000,1,8,6
316132,2019-01-09,1,3,2,117,1,40,7,0.5,6,3,4,3,4,3,100,1200000,300000,1,10,9
